Date,Open,High,Low,Close,Volume,Name
2024-12-09,52268.60066274578,53343.28217169944,51975.50570575843,52170.90234375,26227680.0,SamsungElectronics
2024-12-10,53245.58141637731,53245.58141637731,52463.99490017361,52757.08984375,20783970.0,SamsungElectronics
2024-12-11,52366.296585648146,52952.48647280093,52170.89995659722,52757.08984375,14565947.0,SamsungElectronics
2024-12-12,52757.091346153844,55199.549278846156,52659.393028846156,54613.359375,33476698.0,SamsungElectronics
2024-12-13,54515.666736296786,55004.158373718805,54222.57175384358,54808.76171875,15908823.0,SamsungElectronics
2024-12-16,55004.14990585657,55297.24484318795,53929.468468974825,54320.26171875,15277277.0,SamsungElectronics
2024-12-17,53440.983812845945,53929.47543819188,52757.09553736162,52952.4921875,20215230.0,SamsungElectronics
2024-12-18,52854.79232838115,54124.870517418036,52757.09400614754,53636.37890625,13698937.0,SamsungElectronics
2024-12-19,52268.60187882533,52561.69684263183,51877.80859375,51877.80859375,22481925.0,SamsungElectronics
2024-12-20,51487.01441627358,51877.807694575466,50705.427859669806,51780.109375,24674774.0,SamsungElectronics
2024-12-23,52170.89934287383,52757.08922313084,52073.201029497664,52268.59765625,13672650.0,SamsungElectronics
2024-12-24,52463.998470530794,53245.585039924175,52366.30014935662,53147.88671875,11634677.0,SamsungElectronics
2024-12-26,53245.58568242771,53343.284004780784,52268.60245889692,52366.30078125,10517075.0,SamsungElectronics
2024-12-27,52624.99759951117,53215.18448847765,52329.90415502793,52821.7265625,10747196.0,SamsungElectronics
2024-12-30,52428.26682183975,53116.818168468046,52231.53786566024,52329.90234375,12624702.0,SamsungElectronics
2025-01-02,51838.08144604401,52723.36177434457,51444.62352235487,52526.6328125,16630538.0,SamsungElectronics
2025-01-03,51936.44944852941,54198.83266314338,51936.44944852941,53510.28125,19318046.0,SamsungElectronics
2025-01-06,53510.278846153844,55280.83954326923,53411.914362980766,54985.74609375,19034284.0,SamsungElectronics
2025-01-07,55871.02859882671,56362.85103367554,54493.92578125,54493.92578125,17030235.0,SamsungElectronics
2025-01-08,53903.735629363,56559.576618400955,53805.37114828752,56362.84765625,26593553.0,SamsungElectronics
2025-01-09,56657.94385026738,56756.30833611854,55182.4765625,55182.4765625,24490592.0,SamsungElectronics
2025-01-10,55182.47048768083,55575.92838777125,54297.1902124774,54395.5546875,16059223.0,SamsungElectronics
2025-01-13,53707.00993530499,54100.46788354898,53215.1875,53215.1875,16868600.0,SamsungElectronics
2025-01-14,53313.5504841141,53707.00842126623,52821.72806267393,53018.45703125,17465926.0,SamsungElectronics
2025-01-15,53215.18448847765,53805.371377444135,52624.99759951117,52821.7265625,18625025.0,SamsungElectronics
2025-01-16,53313.549579880295,54100.465440837936,53215.18509726059,53411.9140625,18627298.0,SamsungElectronics
2025-01-17,52920.09104399441,53215.18448847765,52329.90415502793,52821.7265625,18805344.0,SamsungElectronics
2025-01-20,52723.36177434457,53018.45521711143,52428.26833157772,52526.6328125,11822531.0,SamsungElectronics
2025-01-21,52821.72505110981,53411.911923189255,52428.26713639019,52624.99609375,13535702.0,SamsungElectronics
2025-01-22,52526.633718922654,53510.278545119705,52231.54027106354,53411.9140625,18341991.0,SamsungElectronics
2025-01-23,52821.7265625,53215.18448847765,52624.99759951117,52821.7265625,15588067.0,SamsungElectronics
