Date,Open,High,Low,Close,Volume,Name
2024-12-09,385500.0,397500.0,379500.0,387500.0,254353.0,LGES
2024-12-10,392000.0,396000.0,384500.0,385000.0,249658.0,LGES
2024-12-11,388000.0,391000.0,376500.0,378000.0,260700.0,LGES
2024-12-12,383000.0,404500.0,374000.0,404500.0,586555.0,LGES
2024-12-13,396000.0,400000.0,389500.0,400000.0,330114.0,LGES
2024-12-16,399000.0,402500.0,394500.0,398000.0,204346.0,LGES
2024-12-17,398500.0,405000.0,378500.0,382500.0,392455.0,LGES
2024-12-18,384000.0,386000.0,380000.0,381500.0,208785.0,LGES
2024-12-19,373500.0,380000.0,368000.0,372000.0,247458.0,LGES
2024-12-20,375000.0,377000.0,356000.0,357500.0,359300.0,LGES
2024-12-23,359000.0,361500.0,345000.0,359000.0,284110.0,LGES
2024-12-24,361500.0,362000.0,350000.0,350000.0,172107.0,LGES
2024-12-26,351500.0,352000.0,343500.0,344500.0,174814.0,LGES
2024-12-27,341000.0,350500.0,340500.0,348000.0,200696.0,LGES
2024-12-30,345000.0,358500.0,345000.0,348000.0,169683.0,LGES
2025-01-02,348500.0,352500.0,342500.0,346000.0,139219.0,LGES
2025-01-03,343000.0,360500.0,343000.0,356000.0,237676.0,LGES
2025-01-06,358000.0,365500.0,353500.0,361500.0,205797.0,LGES
2025-01-07,363500.0,372000.0,361500.0,365500.0,236305.0,LGES
2025-01-08,364500.0,376000.0,364000.0,373500.0,356433.0,LGES
2025-01-09,371500.0,373000.0,348500.0,358500.0,694920.0,LGES
2025-01-10,356000.0,357500.0,348000.0,348500.0,280639.0,LGES
2025-01-13,346500.0,350500.0,345500.0,347500.0,165688.0,LGES
2025-01-14,350000.0,360000.0,350000.0,358000.0,290092.0,LGES
2025-01-15,359000.0,361000.0,351500.0,351500.0,149879.0,LGES
2025-01-16,358500.0,361500.0,352000.0,352000.0,162319.0,LGES
2025-01-17,352000.0,355500.0,350500.0,350500.0,151960.0,LGES
2025-01-20,352000.0,372000.0,351500.0,370500.0,402884.0,LGES
2025-01-21,365000.0,370000.0,349500.0,354500.0,317052.0,LGES
2025-01-22,356000.0,363000.0,355500.0,360000.0,158528.0,LGES
2025-01-23,356500.0,359500.0,353500.0,353500.0,136125.0,LGES
2025-01-24,355500.0,357500.0,348000.0,353500.0,126762.0,LGES
2025-01-31,353500.0,356500.0,346500.0,352000.0,147908.0,LGES
2025-02-03,345000.0,345500.0,335000.0,336500.0,225738.0,LGES
2025-02-04,340500.0,343500.0,332000.0,333000.0,196605.0,LGES
2025-02-05,336000.0,347000.0,335000.0,345000.0,171086.0,LGES
2025-02-06,344500.0,350500.0,338500.0,342000.0,129145.0,LGES
2025-02-07,341500.0,345000.0,336000.0,336000.0,119390.0,LGES
2025-02-10,333000.0,349500.0,329000.0,346500.0,230067.0,LGES
2025-02-11,348000.0,350500.0,342500.0,343000.0,178558.0,LGES
2025-02-12,343500.0,347500.0,338000.0,338500.0,165759.0,LGES
2025-02-13,341500.0,366500.0,341000.0,358000.0,672554.0,LGES
2025-02-14,355500.0,359500.0,352000.0,353000.0,162202.0,LGES
2025-02-17,354500.0,362000.0,352500.0,353500.0,166506.0,LGES
2025-02-18,355000.0,355000.0,347500.0,350500.0,132978.0,LGES
2025-02-19,353500.0,370500.0,353500.0,366000.0,332886.0,LGES
2025-02-20,367500.0,378500.0,365000.0,376500.0,316958.0,LGES
2025-02-21,378500.0,379000.0,373500.0,378500.0,141193.0,LGES
2025-02-24,377500.0,386500.0,375000.0,385500.0,237103.0,LGES
2025-02-25,386000.0,386000.0,372500.0,373500.0,140338.0,LGES
2025-02-26,369500.0,376000.0,368000.0,374000.0,143098.0,LGES
2025-02-27,374000.0,375000.0,366500.0,370500.0,124821.0,LGES
2025-02-28,366000.0,368000.0,351500.0,352000.0,291801.0,LGES
2025-03-04,351000.0,351500.0,332000.0,332000.0,361892.0,LGES
2025-03-05,336000.0,339000.0,327500.0,334000.0,306239.0,LGES
2025-03-06,337500.0,343500.0,331500.0,334000.0,251173.0,LGES
2025-03-07,331000.0,341000.0,328000.0,339000.0,208637.0,LGES
2025-03-10,339000.0,352000.0,336000.0,349500.0,273181.0,LGES
2025-03-11,338500.0,344500.0,336000.0,341000.0,150783.0,LGES
2025-03-12,344000.0,349500.0,341500.0,348500.0,189492.0,LGES
2025-03-13,352500.0,354500.0,338500.0,340500.0,336473.0,LGES
2025-03-14,339500.0,340000.0,325000.0,326500.0,448904.0,LGES
2025-03-17,328000.0,330500.0,325000.0,325000.0,255211.0,LGES
2025-03-18,326500.0,332000.0,325000.0,325000.0,184156.0,LGES
2025-03-19,326000.0,333000.0,325000.0,330500.0,251845.0,LGES
2025-03-20,334500.0,337500.0,330500.0,334500.0,224094.0,LGES
2025-03-21,334000.0,335000.0,324000.0,329000.0,302913.0,LGES
2025-03-24,331000.0,335000.0,328500.0,331500.0,148739.0,LGES
2025-03-25,336500.0,342500.0,334000.0,335500.0,179131.0,LGES
2025-03-26,338500.0,365000.0,337500.0,360000.0,537163.0,LGES
2025-03-27,354500.0,365000.0,353000.0,356500.0,228114.0,LGES
2025-03-28,360000.0,363000.0,354000.0,356000.0,188128.0,LGES
2025-03-31,346000.0,348000.0,328500.0,334500.0,575113.0,LGES
2025-04-01,337500.0,337500.0,325500.0,328000.0,413352.0,LGES
2025-04-02,330000.0,331000.0,324000.0,329000.0,300758.0,LGES
2025-04-03,320000.0,323000.0,310500.0,315000.0,388422.0,LGES
2025-04-04,311000.0,331000.0,310500.0,329000.0,363443.0,LGES
2025-04-07,318000.0,331000.0,316000.0,323000.0,398358.0,LGES
2025-04-08,331000.0,333000.0,315000.0,318000.0,394764.0,LGES
2025-04-09,317000.0,325000.0,314000.0,314000.0,330125.0,LGES
2025-04-10,335500.0,349500.0,326500.0,349500.0,777090.0,LGES
2025-04-11,337000.0,341500.0,329000.0,335500.0,260102.0,LGES
2025-04-14,337500.0,344500.0,336000.0,343000.0,192936.0,LGES
2025-04-15,342500.0,348500.0,340500.0,345000.0,171756.0,LGES
2025-04-16,350000.0,353000.0,341500.0,343000.0,155592.0,LGES
2025-04-17,341500.0,346500.0,334500.0,342500.0,136846.0,LGES
2025-04-18,344000.0,345000.0,337500.0,338000.0,70190.0,LGES
2025-04-21,337000.0,340500.0,332000.0,332500.0,78331.0,LGES
2025-04-22,332000.0,337000.0,329000.0,332000.0,98130.0,LGES
2025-04-23,339000.0,349500.0,338500.0,349000.0,231174.0,LGES
2025-04-24,349500.0,350000.0,339000.0,341500.0,167826.0,LGES
2025-04-25,347500.0,347500.0,340000.0,343500.0,104822.0,LGES
2025-04-28,349500.0,349500.0,343000.0,346000.0,132948.0,LGES
2025-04-29,346500.0,350000.0,343500.0,350000.0,154760.0,LGES
2025-04-30,347500.0,348500.0,323000.0,324500.0,471209.0,LGES
2025-05-02,325000.0,327500.0,320500.0,320500.0,202479.0,LGES
2025-05-07,322000.0,324500.0,319000.0,322500.0,217160.0,LGES
2025-05-08,322000.0,329000.0,319500.0,327500.0,384939.0,LGES
2025-05-09,327500.0,327500.0,317500.0,318000.0,252119.0,LGES
2025-05-12,320500.0,322000.0,318000.0,321500.0,133817.0,LGES
2025-05-13,323500.0,323500.0,310500.0,312000.0,286158.0,LGES
2025-05-14,313000.0,315000.0,306000.0,313500.0,223695.0,LGES
2025-05-15,313500.0,321000.0,306500.0,307000.0,316371.0,LGES
2025-05-16,305000.0,307000.0,290000.0,290500.0,583328.0,LGES
2025-05-19,291500.0,297000.0,290500.0,291500.0,158255.0,LGES
2025-05-20,292000.0,293000.0,278000.0,279500.0,445299.0,LGES
